Banner Name,5-Star Character,4-Star Characters,Banner Dates
Ballad in Goblets,Venti,"Barbara, Fischl, Xiangling","28th September, 2020 to 18th October, 2020"
Sparkling Steps,Klee,"Noelle, Sucrose, Xingqiu","20th October, 2020 to 10th November, 2020"
Farewell of Snezhnaya,Tartaglia (Childe),"Beidou, Diona, Ningguang","11th November, 2020 to 1st December, 2020"
Gentry of Hermitage,Zhongli,"Chonyun, Razor, Xinyan","1st December, 2020 to 22nd December, 2020"
Secretum Secretorum,Albedo,"Bennett, Fischl, Sucrose","23rd December, 2020 to 12th January, 2021"
Adrift in the Harbor,Ganyu,"Noelle, Xiangling, Xingqiu","12th January, 2021 to 2nd February, 2021"
Invitation to Mundane Life,Xiao,"Beidou, Diona, Xinyan","3rd February, 2021 to 17th February, 2021"
Dance of Lanterns,Keqing,"Barbara, Bennett, Ningguang","17th Febraury, 2021 to 2nd March, 2021"
Moment of Bloom,Hu Tao,"Chongyun, Xiangling, Xingqiu","2nd March, 2021 to 16th March, 2021"
Ballad in Goblets,Venti,"Noelle, Razor, Sucrose","17th March, 2021 to 6th April, 2021"
Farewell of Snezhnaya,Tartaglia (Childe),"Barbara, Fischl, Rosaria","6th April, 2021 to 27th April, 2021"
Gentry of Hermitage,Zhongli,"Diona, Noelle, Yanfei","28th April, 2021 to 18th May, 2021"
Born of Ocean Swell,Eula,"Beidou, Xingqiu, Xinyan","18th May, 2021 to 8th June, 2021"
Sparkling Steps,Klee,"Barbara, Fischl, Sucrose","9th June, 2021 to 29th June, 2021"
Leaves in the Wind,Kazuha,"Bennett, Razor, Rosaria","29th June, 2021 to 20th July, 2021"
The Heron's Court,Ayaka,"Chongyun, Ningguang, Yanfei","21st July, 2021 to 10th August, 2021"
Tapestry of Golden Flames,Yoimiya,"Diona, Sayu, Xinyan","10th August, 2021 to 31st August, 2021"
Reign of Serenity,Raiden,"Kujou Sara, Sucrose, Xiangling","1st September, 2021 to 21st September, 2021"
Drifting Luminescence,Kokomi,"Beidou, Rosaria, Xinqiu","21st September, 2021 to 12th October, 2021"
Farewell of Snezhnaya,Tartaglia (Childe),"Chongyun, Ningguang, Yanfei","13th October, 2021 to 2nd November, 2021"
Moment of Bloom,Hu Tao,"Diona, Sayu, Thoma","2nd November, 2021 to 23rd November, 2021"
Secretum Secretorum,Albedo,"Bennett, Noelle, Rosaria","24th November, 2021 to 14th December, 2021"
Born of Ocean Swell,Eula,"Bennett, Noelle, Rosaria","24th November, 2021 to 14th December, 2021"
Oni's Royale,Arataki Itto,"Barbara, Gorou, Xiangling","14th December, 2021 to 4th January, 2022"
The Transcendent One Returns,Shenhe,"Chongyun, Ningguang, Yun Jin","5th January, 2022 to 25th January, 2022"
Invitation to Mundane Life,Xiao,"Chongyun, Ningguang, Yun Jin","5th January, 2022 to 25th January, 2022"
